Личный номер,ФИО,Группа,Финансирование,Пол,Город постоянной регистрации
23И9652,Галина Ивановна Кириллова,ИЭБО-35-23,Б,Ж,Архангельск
20И0336,Родионова Александра Викторовна,ИЭБО-35-23,К,Ж,Новороссийск
20И9706,Флорентин Артурович Антонов,ИЭБО-35-23,К,М,Казань
22И1765,Варлаам Витальевич Емельянов,ИЭБО-35-23,К,М,Астрахань
20И2274,Платон Ефимович Фокин,ИЭБО-35-23,Б,М,Ростов-на-Дону
22И6857,Горбачев Артем Анисимович,ИЭБО-35-23,Б,М,Ижевск
21И1687,Прохорова Вероника Петровна,ИЭБО-35-23,Б,Ж,Самара
23И6589,Осипов Творимир Филиппович,ИЭБО-35-23,К,М,Киров
22И5314,Дроздов Поликарп Федосьевич,ИЭБО-35-23,Б,М,Набережные Челны
21И5887,Панов Сидор Ефремович,ИЭБО-35-23,К,М,Симферополь
21И5024,Христофор Ильясович Веселов,ИЭБО-35-23,Б,М,Нижневартовск
20И5036,Соколов Прохор Гавриилович,ИЭБО-35-23,К,М,Мариуполь
21И8893,Евсеева Пелагея Рубеновна,ИЭБО-35-23,К,Ж,Хабаровск
23И5674,Федот Игнатьевич Красильников,ИВБО-53-22,К,М,Чебоксары
23И4659,Анисимова Лариса Харитоновна,ИВБО-53-22,К,Ж,Магнитогорск
20И7134,Пелагея Богдановна Комиссарова,ИВБО-53-22,Б,Ж,Сургут
22И7226,Борисов Валерьян Феликсович,ИВБО-53-22,К,М,Москва
21И3692,Ситникова Светлана Матвеевна,ИВБО-53-22,К,Ж,Владикавказ
20И8104,Филатов Август Даниилович,ИВБО-53-22,К,М,Воронеж
22И6920,Овчинникова Галина Викторовна,ИВБО-53-22,Б,Ж,Пермь
23И7504,Костина Лукия Архиповна,ИВБО-53-22,К,Ж,Ульяновск
22И6180,Колобов Трифон Изотович,ИВБО-53-22,Б,М,Саратов
21И4885,Крылова Эмилия Кузьминична,ИВБО-53-22,Б,Ж,Курган
23И0675,Виктория Георгиевна Вишнякова,ИВБО-53-22,К,Ж,Ульяновск
23И5796,Дементьева Светлана Геннадиевна,ИВБО-53-22,Б,Ж,Архангельск
21И5516,Кириллов Пимен Абрамович,ИВБО-53-22,К,М,Архангельск
22И0461,Тихонов Василий Ефимович,ИВБО-53-22,К,М,Москва
23И3287,Нестор Гордеевич Дроздов,ИВБО-53-22,К,М,Мариуполь
21И5842,Гущин Ростислав Власович,ИВБО-53-22,К,М,Чита
22И8958,Виктория Владиславовна Мельникова,ИВБО-53-22,Б,Ж,Липецк
21И8505,Пелагея Степановна Александрова,ИВБО-53-22,Б,Ж,Севастополь
22И2408,Юлия Станиславовна Журавлева,ИВБО-53-22,Б,Ж,Магнитогорск
20И2920,Борисова Клавдия Альбертовна,ИВБО-53-22,Б,Ж,Пенза
21И5050,Туров Ермолай Аверьянович,ИВБО-53-22,К,М,Старый Оскол
22И3597,Ия Афанасьевна Мухина,ИВБО-53-22,К,Ж,Киров
22И8475,Георгий Захарьевич Федосеев,ИВБО-53-22,Б,М,Санкт-Петербург
22И4237,Агата Павловна Воробьева,ИВБО-53-22,К,Ж,Старый Оскол
22И6079,Раиса Геннадьевна Моисеева,ИВБО-53-22,К,Ж,Ростов-на-Дону
22И4222,Олимпий Виленович Яковлев,ИВБО-53-22,К,М,Севастополь
20И5759,Севастьян Феодосьевич Соколов,ИВБО-53-22,Б,М,Иркутск
21И5725,Аникита Юльевич Кондратьев,ИВБО-53-22,Б,М,Новокузнецк
22И7969,Князева Элеонора Вячеславовна,ИВБО-53-22,Б,Ж,Донецк
22И6086,Рыбакова Нина Архиповна,ИВБО-53-22,Б,Ж,Ижевск
20И3376,Ковалев Рюрик Бориславович,ИКБО-31-23,К,М,Старый Оскол
21И3363,Терентий Арсенович Карпов,ИКБО-31-23,К,М,Ставрополь
23И5404,Соломон Феофанович Самсонов,ИКБО-31-23,К,М,Таганрог
21И8604,Мирослав Егорович Зуев,ИКБО-31-23,Б,М,Брянск
22И6737,Вера Андреевна Наумова,ИКБО-31-23,К,Ж,Новокузнецк
22И9221,Агафья Эдуардовна Кудряшова,ИКБО-31-23,К,Ж,Кострома
23И5367,Терентьева Ангелина Наумовна,ИКБО-31-23,К,Ж,Рязань
20И1160,Егор Артемьевич Савин,ИКБО-31-23,К,М,Новокузнецк
20И0771,Тарасова Ольга Ивановна,ИКБО-31-23,К,Ж,Москва
22И8522,Трифон Егорович Самсонов,ИКБО-31-23,Б,М,Уфа
22И0835,Смирнов Силантий Еремеевич,ИКБО-31-23,Б,М,Сочи
20И1662,Ольга Валентиновна Денисова,ИКБО-31-23,К,Ж,Брянск
22И4955,Моисеев Роман Арсенович,ИКБО-31-23,Б,М,Донецк
23И9116,Екатерина Аскольдовна Горшкова,ИКБО-31-23,Б,Ж,Нижний Новгород
21И8179,Виталий Еремеевич Смирнов,ИКБО-31-23,К,М,Владикавказ
20И1338,Мария Михайловна Исакова,ИКБО-31-23,Б,Ж,Новороссийск
22И2087,Королева Ираида Эльдаровна,ИКБО-31-23,Б,Ж,Липецк
21И8621,Вера Романовна Абрамова,ИКБО-31-23,Б,Ж,Смоленск
22И0611,Голубева Евпраксия Петровна,ИКБО-31-23,Б,Ж,Тверь
22И6457,Остромир Елизарович Моисеев,ИКБО-31-23,Б,М,Киров
23И3737,г-н Медведев Валерий Аксёнович,ИКБО-31-23,Б,М,Ульяновск
22И3556,Романова Евфросиния Петровна,ИКБО-31-23,К,Ж,Ижевск
23И0532,Нонна Васильевна Ефимова,ИКБО-31-23,Б,Ж,Магнитогорск
23И5408,Савин Евграф Димитриевич,ИКБО-31-23,Б,М,Новороссийск
23И8098,Сазонов Самсон Артемьевич,ИКБО-31-23,Б,М,Смоленск
22И8064,Копылов Максимильян Филимонович,ИКБО-31-23,Б,М,Томск
23И0573,Антонова Раиса Тимофеевна,ИКБО-31-23,Б,Ж,Набережные Челны
22И1445,Парфен Артёмович Николаев,ИКБО-31-23,Б,М,Саранск
20И6005,Ульян Владиленович Белов,ИКБО-31-23,Б,М,Магнитогорск
21И9784,Харитонова Ирина Львовна,ИКБО-31-23,Б,Ж,Кемерово
20И3379,Елена Артемовна Дьячкова,ИКБО-65-20,К,Ж,Нижний Новгород
21И6689,Стрелков Остап Измаилович,ИКБО-65-20,К,М,Тольятти
21И6539,Пестова Ия Геннадиевна,ИКБО-65-20,К,Ж,Астрахань
21И9650,Амос Гурьевич Суханов,ИКБО-65-20,Б,М,Мурманск
21И0677,Макар Ефремович Логинов,ИКБО-65-20,К,М,Москва
21И6450,Исай Арсенович Лапин,ИКБО-65-20,Б,М,Севастополь
21И6392,Доброслав Федотович Шарапов,ИКБО-65-20,Б,М,Тула
22И3064,Фаина Георгиевна Мамонтова,ИКБО-65-20,К,Ж,Волгоград
23И2563,Коновалова Варвара Наумовна,ИКБО-65-20,Б,Ж,Барнаул
23И5006,Данилова Ульяна Максимовна,ИКБО-65-20,Б,Ж,Махачкала
20И2530,Мирослав Артемьевич Захаров,ИКБО-65-20,Б,М,Краснодар
21И4283,Адриан Феликсович Тарасов,ИКБО-65-20,Б,М,Курск
22И9075,Субботин Сила Харлампьевич,ИКБО-65-20,К,М,Ижевск
23И2716,Казимир Демидович Тихонов,ИКБО-65-20,Б,М,Таганрог
21И3995,Аркадий Матвеевич Федосеев,ИКБО-65-20,Б,М,Волгоград
21И3017,Мясников Александр Фадеевич,ИКБО-65-20,Б,М,Чебоксары
20И5675,Таисия Харитоновна Логинова,ИКБО-65-20,Б,Ж,Нижневартовск
21И4760,Ксения Эльдаровна Кузнецова,ИКБО-65-20,К,Ж,Кострома
23И7408,Евстафий Юльевич Абрамов,ИКБО-65-20,Б,М,Тверь
23И9187,Валерий Исидорович Копылов,ИКБО-65-20,К,М,Нижневартовск
20И7051,г-жа Гаврилова Евфросиния Константиновна,ИКБО-65-20,К,Ж,Ульяновск
20И5127,Воронов Каллистрат Глебович,ИКБО-65-20,К,М,Белгород
22И6412,Олимпий Тимурович Филиппов,ИКБО-65-20,К,М,Кемерово
22И8777,Самсонова Ксения Аркадьевна,ИКБО-65-20,Б,Ж,Севастополь
21И8044,Лора Михайловна Павлова,ИКБО-65-20,Б,Ж,Донецк
22И0539,Феврония Яковлевна Исакова,ИКБО-65-20,Б,Ж,Курган
22И0426,Митофан Валерьевич Шестаков,ИКБО-65-20,Б,М,Саранск
21И9446,Белоусов Павел Архипович,ИКБО-65-20,Б,М,Липецк
22И3646,Аникей Харлампович Кулагин,ИКБО-65-20,К,М,Тюмень
23И9022,Сергеев Ярополк Жанович,ИКБО-65-20,К,М,Архангельск
21И3250,Лора Алексеевна Романова,ИЭБО-65-23,Б,Ж,Астрахань
23И0241,Артемьева Евгения Алексеевна,ИЭБО-65-23,Б,Ж,Луганск
22И3593,Амос Гертрудович Блохин,ИЭБО-65-23,К,М,Курган
23И9306,Наркис Федотович Кулагин,ИЭБО-65-23,Б,М,Тольятти
20И0265,Ульяна Даниловна Григорьева,ИЭБО-65-23,Б,Ж,Новороссийск
22И5351,Пономарева Лора Даниловна,ИЭБО-65-23,Б,Ж,Тверь
21И3749,Спартак Иосифович Некрасов,ИЭБО-65-23,К,М,Омск
20И7011,Ольга Альбертовна Кулагина,ИЭБО-65-23,Б,Ж,Севастополь
21И2838,Лукия Феликсовна Доронина,ИЭБО-65-23,Б,Ж,Бийск
22И9068,Кира Викторовна Лихачева,ИЭБО-65-23,Б,Ж,Сочи
23И6157,Зимина Анжелика Игоревна,ИЭБО-65-23,Б,Ж,Симферополь
22И5104,Кудрявцев Эрнест Вилорович,ИЭБО-65-23,Б,М,Белгород
20И8553,Георгий Ерофеевич Макаров,ИЭБО-65-23,Б,М,Пенза
20И6437,Тимофей Адамович Назаров,ИЭБО-65-23,Б,М,Киров
22И5000,Рогов Лукьян Юльевич,ИЭБО-65-23,Б,М,Оренбург
22И7676,Октябрина Ивановна Наумова,ИЭБО-65-23,К,Ж,Пенза
21И3768,Захарова Лора Константиновна,ИЭБО-65-23,К,Ж,Ульяновск
20И8384,Евграф Измаилович Щукин,ИЭБО-65-23,К,М,Москва
22И5388,Крылов Никифор Федосьевич,ИЭБО-65-23,К,М,Нижневартовск
21И1138,Назаров Фортунат Андреевич,ИЭБО-65-23,К,М,Нижневартовск
20И4807,Григорьева Фаина Робертовна,ИЭБО-65-23,Б,Ж,Барнаул
20И4646,тов. Носков Сидор Филатович,ИЭБО-65-23,К,М,Севастополь
21И6396,Доронин Соломон Тарасович,ИЭБО-65-23,Б,М,Петрозаводск
20И6035,тов. Попова Ульяна Рубеновна,ИЭБО-65-23,Б,Ж,Мурманск
21И8573,Ирина Леонидовна Доронина,ИЭБО-65-23,К,Ж,Мариуполь
21И9467,Фаина Робертовна Колесникова,ИЭБО-65-23,К,Ж,Кемерово
21И2341,Оксана Болеславовна Николаева,ИЭБО-65-23,Б,Ж,Владикавказ
21И9013,София Андреевна Гурьева,ИЭБО-65-23,К,Ж,Нижний Новгород
21И0044,Александра Георгиевна Васильева,ИЭБО-65-23,Б,Ж,Екатеринбург
20И9211,Дарья Петровна Кошелева,ИЭБО-65-23,К,Ж,Тула
22И3963,Попов Модест Харитонович,ИМБО-36-23,Б,М,Воронеж
23И4483,Стрелков Гедеон Анатольевич,ИМБО-36-23,Б,М,Курск
20И8406,Галактион Ефремович Горбачев,ИМБО-36-23,К,М,Тверь
23И5995,Касьян Тихонович Блинов,ИМБО-36-23,К,М,Ставрополь
23И1498,Кондратьева Валерия Ивановна,ИМБО-36-23,Б,Ж,Архангельск
22И2067,Пестов Мстислав Ефимович,ИМБО-36-23,Б,М,Волгоград
22И5266,тов. Беспалов Парфен Демидович,ИМБО-36-23,К,М,Тверь
20И9205,Вацлав Трофимович Шарапов,ИМБО-36-23,К,М,Нижневартовск
22И0038,тов. Гаврилова Полина Владимировна,ИМБО-36-23,Б,Ж,Таганрог
21И5048,Ефимов Игорь Эдгардович,ИМБО-36-23,К,М,Воронеж
23И0143,Афанасьева Антонина Артемовна,ИМБО-36-23,Б,Ж,Курск
21И8756,Родион Иларионович Котов,ИМБО-36-23,Б,М,Ростов-на-Дону
23И9141,Василиса Тимофеевна Рогова,ИМБО-36-23,К,Ж,Ставрополь
22И8772,Еремей Гавриилович Федотов,ИМБО-36-23,Б,М,Тула
23И2251,Фома Исидорович Жданов,ИМБО-36-23,К,М,Санкт-Петербург
20И0669,Ферапонт Вилорович Дмитриев,ИМБО-36-23,Б,М,Старый Оскол
23И6741,Гусева Синклитикия Натановна,ИМБО-36-23,Б,Ж,Белгород
23И7309,Жданов Рубен Федосьевич,ИМБО-36-23,Б,М,Новокузнецк
21И7768,Соколов Софрон Герасимович,ИМБО-36-23,Б,М,Тюмень
21И7246,Ларионов Вениамин Архипович,ИМБО-36-23,Б,М,Новосибирск
22И7432,Алевтина Егоровна Дементьева,ИМБО-36-23,К,Ж,Саратов
20И6907,Регина Наумовна Кудрявцева,ИМБО-36-23,К,Ж,Омск
21И6542,Никандр Иларионович Казаков,ИМБО-36-23,Б,М,Ангарск
22И4559,Щукин Капитон Валерианович,ИМБО-36-23,Б,М,Челябинск
22И5651,Корнилов Мирон Измаилович,ИМБО-36-23,Б,М,Тольятти
20И7869,Кира Петровна Филиппова,ИМБО-36-23,Б,Ж,Калининград
20И1845,г-н Белозеров Кузьма Фёдорович,ИМБО-36-23,К,М,Липецк
21И4298,Алексеева Лидия Ильинична,ИМБО-36-23,Б,Ж,Архангельск
22И3297,Носков Аркадий Федосьевич,ИМБО-36-23,К,М,Сочи
20И2163,Харитонова Кира Семеновна,ИМБО-36-23,К,Ж,Сочи
20И9804,Нонна Робертовна Назарова,ИЭБО-61-22,Б,Ж,Тверь
21И8081,Овчинникова Оксана Павловна,ИЭБО-61-22,К,Ж,Саратов
22И0463,Октябрина Афанасьевна Андреева,ИЭБО-61-22,К,Ж,Уфа
22И9319,Лукия Вадимовна Хохлова,ИЭБО-61-22,Б,Ж,Хабаровск
23И5761,Лариса Сергеевна Копылова,ИЭБО-61-22,К,Ж,Новороссийск
23И9640,Зиновьев Афиноген Марсович,ИЭБО-61-22,К,М,Санкт-Петербург
20И1672,Любовь Леонидовна Капустина,ИЭБО-61-22,Б,Ж,Мариуполь
23И6982,Синклитикия Валериевна Игнатова,ИЭБО-61-22,Б,Ж,Саратов
21И9524,Пестов Емельян Матвеевич,ИЭБО-61-22,К,М,Мурманск
21И1166,Одинцова Клавдия Артемовна,ИЭБО-61-22,К,Ж,Саранск
20И6019,Валерий Борисович Семенов,ИЭБО-61-22,К,М,Ярославль
22И2090,Алина Вячеславовна Елисеева,ИЭБО-61-22,К,Ж,Уфа
20И3681,Гедеон Демьянович Ширяев,ИЭБО-61-22,К,М,Владикавказ
22И0703,Клавдия Валериевна Волкова,ИЭБО-61-22,Б,Ж,Новокузнецк
23И7292,Людмила Никифоровна Зыкова,ИЭБО-61-22,К,Ж,Тула
23И3634,Гущина Светлана Юрьевна,ИЭБО-61-22,К,Ж,Севастополь
22И0170,Куликова Лидия Александровна,ИЭБО-61-22,К,Ж,Тула
21И7520,Чеслав Архипович Владимиров,ИЭБО-61-22,К,М,Тула
20И0713,Любовь Юрьевна Дмитриева,ИЭБО-61-22,Б,Ж,Владивосток
21И0897,Матвеев Клавдий Харлампович,ИЭБО-61-22,Б,М,Новосибирск
21И3716,Мишин Зиновий Исидорович,ИЭБО-61-22,Б,М,Саратов
22И5428,Надежда Макаровна Семенова,ИЭБО-61-22,К,Ж,Иркутск
23И3250,Романова Элеонора Васильевна,ИЭБО-61-22,Б,Ж,Иркутск
20И1871,Селиверстова Марфа Федоровна,ИЭБО-61-22,Б,Ж,Барнаул
20И1787,Лебедев Ярослав Афанасьевич,ИЭБО-61-22,К,М,Ангарск
23И7457,Маргарита Семеновна Дементьева,ИЭБО-61-22,К,Ж,Хабаровск
21И3558,Серафим Устинович Осипов,ИЭБО-61-22,Б,М,Кемерово
21И1953,Комарова Юлия Кузьминична,ИЭБО-61-22,Б,Ж,Омск
20И7649,Елена Мироновна Киселева,ИЭБО-61-22,К,Ж,Рязань
22И3509,Кириллова Елизавета Константиновна,ИЭБО-61-22,Б,Ж,Курган
21И6604,Афанасьев Егор Ермилович,ИНБО-63-20,К,М,Москва
21И9520,Елизар Тимурович Бобылев,ИНБО-63-20,К,М,Саратов
20И6001,Платон Бориславович Горбунов,ИНБО-63-20,К,М,Ангарск
20И6907,Анисим Жоресович Емельянов,ИНБО-63-20,Б,М,Самара
20И8583,Филиппов Фрол Арсеньевич,ИНБО-63-20,К,М,Тула
21И3154,Сысоева Кира Викторовна,ИНБО-63-20,К,Ж,Самара
23И0660,Константинов Аверкий Анатольевич,ИНБО-63-20,К,М,Донецк
23И1268,Анисимов Радован Валерьевич,ИНБО-63-20,К,М,Краснодар
23И5658,Панфилов Андроник Иларионович,ИНБО-63-20,К,М,Екатеринбург
23И1850,Евдокимов Георгий Тихонович,ИНБО-63-20,Б,М,Саранск
21И3909,Станимир Вячеславович Марков,ИНБО-63-20,Б,М,Омск
23И9035,Радислав Измаилович Архипов,ИНБО-63-20,Б,М,Белгород
20И1325,Авдей Ильич Фокин,ИНБО-63-20,К,М,Оренбург
22И2506,Сорокина Анжелика Мироновна,ИНБО-63-20,Б,Ж,Сургут
20И7113,Кононов Прокофий Валерьянович,ИНБО-63-20,К,М,Ярославль
20И0726,Маргарита Тимофеевна Маслова,ИНБО-63-20,Б,Ж,Ижевск
20И4648,Киселев Игнатий Эдгарович,ИНБО-63-20,К,М,Челябинск
23И5066,Ангелина Леонидовна Ефремова,ИНБО-63-20,К,Ж,Владикавказ
20И7166,Лаврентий Фёдорович Носков,ИНБО-63-20,К,М,Тольятти
23И1680,Суханов Парфен Ефимович,ИНБО-63-20,Б,М,Рязань
23И9654,Ипатий Гордеевич Казаков,ИНБО-63-20,Б,М,Ижевск
20И9031,Кондратьев Гаврила Жанович,ИНБО-63-20,К,М,Челябинск
20И2502,Мария Сергеевна Устинова,ИНБО-63-20,Б,Ж,Владивосток
23И0121,Борисова Олимпиада Ивановна,ИНБО-63-20,Б,Ж,Чебоксары
21И1484,Варфоломей Владленович Козлов,ИНБО-63-20,Б,М,Кемерово
21И4390,Тетерина Феврония Оскаровна,ИНБО-63-20,К,Ж,Курган
23И6711,Прасковья Захаровна Новикова,ИНБО-63-20,К,Ж,Краснодар
22И8741,Хохлова Ксения Тарасовна,ИНБО-63-20,Б,Ж,Иваново
20И0068,Борисова Наталья Рудольфовна,ИНБО-63-20,К,Ж,Нижневартовск
21И1095,Нестеров Вадим Арсеньевич,ИНБО-63-20,Б,М,Екатеринбург
21И9521,Харитон Анисимович Исаев,ИМБО-73-23,Б,М,Санкт-Петербург
21И7517,Ковалев Аникей Борисович,ИМБО-73-23,Б,М,Кострома
22И5430,Антонин Власович Соколов,ИМБО-73-23,К,М,Тюмень
22И7135,Ираида Антоновна Комарова,ИМБО-73-23,К,Ж,Таганрог
21И1157,Гаврилова Таисия Болеславовна,ИМБО-73-23,К,Ж,Чита
22И6996,Мельникова Иванна Ильинична,ИМБО-73-23,К,Ж,Уфа
20И5185,Якушев Филипп Исидорович,ИМБО-73-23,Б,М,Новороссийск
21И1048,Варвара Богдановна Колобова,ИМБО-73-23,К,Ж,Ярославль
23И1379,Марина Никифоровна Романова,ИМБО-73-23,Б,Ж,Рязань
21И2630,Твердислав Алексеевич Селиверстов,ИМБО-73-23,К,М,Ульяновск
20И0372,Емельян Тихонович Копылов,ИМБО-73-23,К,М,Ярославль
21И2690,Игнатьев Федор Зиновьевич,ИМБО-73-23,К,М,Нижний Новгород
23И8295,Белозеров Ким Алексеевич,ИМБО-73-23,К,М,Тольятти
20И0830,Прохор Харламович Комиссаров,ИМБО-73-23,Б,М,Калуга
21И5818,Зайцев Евдоким Фёдорович,ИМБО-73-23,К,М,Кемерово
21И7880,Стоян Терентьевич Васильев,ИМБО-73-23,Б,М,Краснодар
22И0358,Надежда Владиславовна Мухина,ИМБО-73-23,Б,Ж,Владикавказ
21И0671,Мариан Измаилович Наумов,ИМБО-73-23,К,М,Набережные Челны
22И6901,Шубина Вера Макаровна,ИМБО-73-23,Б,Ж,Нижневартовск
23И3357,Копылова Глафира Тарасовна,ИМБО-73-23,Б,Ж,Новокузнецк
21И1653,Эрнст Адрианович Суханов,ИМБО-73-23,К,М,Симферополь
21И5744,Силина Фаина Викторовна,ИМБО-73-23,Б,Ж,Смоленск
20И9536,Ермил Архипович Ситников,ИМБО-73-23,К,М,Курган
23И4938,Авксентий Авдеевич Быков,ИМБО-73-23,К,М,Курган
21И0918,Потап Фокич Харитонов,ИМБО-73-23,Б,М,Курган
21И3118,Гордеев Радислав Адамович,ИМБО-73-23,К,М,Рязань
21И3636,Киселева Нина Игоревна,ИМБО-73-23,Б,Ж,Тула
20И9647,Майя Валериевна Щукина,ИМБО-73-23,Б,Ж,Нижний Новгород
22И3494,Борислав Геннадиевич Буров,ИМБО-73-23,Б,М,Таганрог
23И4650,Милица Аскольдовна Лебедева,ИМБО-73-23,Б,Ж,Сыктывкар
23И9938,Носкова Нинель Натановна,ИНБО-84-21,Б,Ж,Владивосток
22И4408,Азарий Ефимьевич Лазарев,ИНБО-84-21,Б,М,Курган
20И4761,Лука Григорьевич Беляев,ИНБО-84-21,Б,М,Хабаровск
20И5378,Валерия Петровна Елисеева,ИНБО-84-21,Б,Ж,Ставрополь
20И0482,Иванов Азарий Викторович,ИНБО-84-21,Б,М,Москва
21И5641,Афанасьев Ипполит Иосифович,ИНБО-84-21,Б,М,Владивосток
20И1690,Селиверстов Евсей Вилорович,ИНБО-84-21,К,М,Брянск
21И8485,Митофан Давидович Мартынов,ИНБО-84-21,Б,М,Ижевск
21И4066,Селиверстова Анастасия Вениаминовна,ИНБО-84-21,К,Ж,Рязань
23И7695,Анжела Александровна Ларионова,ИНБО-84-21,К,Ж,Саранск
22И3513,Жанна Вячеславовна Макарова,ИНБО-84-21,Б,Ж,Мурманск
20И4512,Венедикт Абрамович Шаров,ИНБО-84-21,Б,М,Ангарск
21И8098,Евгения Леоновна Николаева,ИНБО-84-21,К,Ж,Тула
21И8206,Зоя Руслановна Прохорова,ИНБО-84-21,Б,Ж,Киров
21И2162,Зинаида Андреевна Пономарева,ИНБО-84-21,Б,Ж,Владикавказ
23И9686,Кира Васильевна Жданова,ИНБО-84-21,К,Ж,Барнаул
23И0343,Евсей Елизарович Тарасов,ИНБО-84-21,Б,М,Рязань
22И5277,Дарья Васильевна Максимова,ИНБО-84-21,К,Ж,Ярославль
20И0063,Аркадий Юлианович Лебедев,ИНБО-84-21,К,М,Чебоксары
20И1764,Ситникова Вероника Вадимовна,ИНБО-84-21,Б,Ж,Пермь
22И9053,Ширяева Анна Макаровна,ИНБО-84-21,Б,Ж,Архангельск
22И4545,Василиса Оскаровна Лаврентьева,ИНБО-84-21,Б,Ж,Екатеринбург
20И4413,Борис Алексеевич Субботин,ИНБО-84-21,Б,М,Новосибирск
22И1734,Архипов Аркадий Викторович,ИНБО-84-21,Б,М,Мурманск
20И9536,Пахомова Таисия Анатольевна,ИНБО-84-21,Б,Ж,Владикавказ
22И2598,Петров Иннокентий Адамович,ИНБО-84-21,К,М,Нижневартовск
23И5617,Капустин Остромир Дмитриевич,ИНБО-84-21,Б,М,Калуга
21И9927,Зуев Константин Егорович,ИНБО-84-21,Б,М,Донецк
22И3993,Ладимир Витальевич Филиппов,ИНБО-84-21,К,М,Кострома
23И2712,Кондрат Жанович Фокин,ИНБО-84-21,Б,М,Мариуполь
23И9467,Белоусов Климент Чеславович,ИНБО-01-22,Б,М,Смоленск
21И1381,Нонна Захаровна Селиверстова,ИНБО-01-22,Б,Ж,Белгород
23И2090,Агата Леонидовна Михеева,ИНБО-01-22,Б,Ж,Калуга
23И0404,Людмила Кузьминична Родионова,ИНБО-01-22,Б,Ж,Тюмень
23И5941,Евдокия Юрьевна Шарапова,ИНБО-01-22,Б,Ж,Донецк
23И1494,Ладислав Жоресович Власов,ИНБО-01-22,К,М,Ярославль
20И7623,Фокина Анжелика Дмитриевна,ИНБО-01-22,К,Ж,Брянск
22И4730,Блинов Михей Тихонович,ИНБО-01-22,Б,М,Владивосток
23И3923,Дмитриева Ангелина Тимофеевна,ИНБО-01-22,Б,Ж,Севастополь
23И3576,Брагин Филимон Брониславович,ИНБО-01-22,К,М,Красноярск
20И4526,Селиверстова Елена Константиновна,ИНБО-01-22,Б,Ж,Барнаул
20И4444,Беляков Эрнест Игнатьевич,ИНБО-01-22,К,М,Владивосток
21И8940,Петухов Филарет Давыдович,ИНБО-01-22,Б,М,Сыктывкар
22И7823,Ксения Владиславовна Белякова,ИНБО-01-22,К,Ж,Сочи
21И7996,Анисимова Майя Ильинична,ИНБО-01-22,Б,Ж,Курск
21И1775,Денис Эдуардович Уваров,ИНБО-01-22,К,М,Киров
22И8415,Шарапов Карп Юлианович,ИНБО-01-22,К,М,Владикавказ
23И0066,Антонова Анжела Ефимовна,ИНБО-01-22,К,Ж,Новосибирск
22И1264,Сазонов Дорофей Григорьевич,ИНБО-01-22,Б,М,Таганрог
20И2778,Ермаков Борис Димитриевич,ИНБО-01-22,Б,М,Калининград
22И1224,Глафира Аркадьевна Дьячкова,ИНБО-01-22,Б,Ж,Ангарск
23И9432,Митофан Даниилович Баранов,ИНБО-01-22,Б,М,Луганск
22И0845,Лукия Тимуровна Петухова,ИНБО-01-22,Б,Ж,Пермь
23И2963,Милован Елизарович Денисов,ИНБО-01-22,К,М,Сочи
21И9258,Иванов Мефодий Исидорович,ИНБО-01-22,Б,М,Саранск
20И2841,Евдокимов Тарас Ермилович,ИНБО-01-22,Б,М,Барнаул
22И5632,Богдан Гордеевич Брагин,ИНБО-01-22,Б,М,Уфа
22И1560,Лев Валерьянович Овчинников,ИНБО-01-22,Б,М,Курган
20И0929,Аникита Иосипович Сафонов,ИНБО-01-22,К,М,Владивосток
23И8765,Кондратьев Парфен Иларионович,ИНБО-01-22,Б,М,Ростов-на-Дону
23И7368,Суворов Владилен Тимурович,ИЭБО-75-21,К,М,Сочи
21И8866,Тимофеев Варлаам Ильясович,ИЭБО-75-21,К,М,Донецк
20И8492,Глафира Сергеевна Коновалова,ИЭБО-75-21,К,Ж,Петрозаводск
22И7928,Галкина Татьяна Александровна,ИЭБО-75-21,К,Ж,Ставрополь
23И1869,Акулина Яковлевна Тарасова,ИЭБО-75-21,Б,Ж,Тверь
23И5611,Светозар Германович Гордеев,ИЭБО-75-21,К,М,Калуга
21И9484,Всеслав Аверьянович Сысоев,ИЭБО-75-21,К,М,Новокузнецк
20И4418,Ковалев Савватий Ильич,ИЭБО-75-21,Б,М,Казань
23И1931,Феврония Артемовна Павлова,ИЭБО-75-21,К,Ж,Красноярск
23И6053,Нинель Геннадиевна Миронова,ИЭБО-75-21,К,Ж,Санкт-Петербург
20И4483,Аскольд Антонович Лаврентьев,ИЭБО-75-21,К,М,Кострома
20И3370,Феврония Валентиновна Сорокина,ИЭБО-75-21,Б,Ж,Таганрог
22И6933,Бажен Жоресович Силин,ИЭБО-75-21,К,М,Иваново
20И2341,Филиппова Маргарита Владимировна,ИЭБО-75-21,К,Ж,Волгоград
21И2169,Раиса Семеновна Мясникова,ИЭБО-75-21,Б,Ж,Магнитогорск
20И5693,Вера Романовна Русакова,ИЭБО-75-21,Б,Ж,Оренбург
20И2468,Сысоева Вера Борисовна,ИЭБО-75-21,К,Ж,Москва
20И0043,Вадим Адамович Вишняков,ИЭБО-75-21,Б,М,Воронеж
21И7566,Панфилова Варвара Леонидовна,ИЭБО-75-21,Б,Ж,Тула
22И7122,Анисим Исидорович Брагин,ИЭБО-75-21,Б,М,Бийск
21И7097,Евпраксия Григорьевна Третьякова,ИЭБО-75-21,Б,Ж,Казань
